,NAME,PLM,PLM2,INC,StPoll,Final,Rating,RepWins
0,Alabama,29.59,-29.59,19.2,15.3815239,25.072551491,Solid R,100.0%
1,Alaska,14.62,-14.62,7.0,5.7320142,11.256489798,Solid R,98.93%
2,Arizona,7.59,-7.59,0.0,0.5,4.2722999999999995,Lean R,78.0%
3,Arkansas,31.84,-31.84,0.0,4.051584399999999,18.120393235999998,Solid R,100.0%
4,California,-25.45,25.45,-23.8,-18.9692325,-24.928270425,Solid D,0.0%
5,Colorado,-6.37,6.37,-10.6,-8.0980377,-8.327546013000001,Solid D,1.51%
6,Connecticut,-12.13,12.13,-3.2,-14.0,-15.033100000000001,Solid D,0.32%
7,Florida,7.6,-7.6,0.4,4.8,7.247999999999999,Solid R,98.45%
8,Georgia,5.0,-7.43,1.4,6.6,7.277999999999999,Solid R,98.5%
9,Hawaii,-31.65,31.65,0.0,-5.4344565000000005,-18.265274984999998,Solid D,0.0%
10,Idaho,36.97,-36.97,21.6,17.9424337,30.332179252999996,Solid R,100.0%
11,Illinois,-13.44,13.44,-15.7,-12.2531774,-14.568492405999999,Solid D,0.3%
12,Iowa,9.68,-9.68,2.8,12.5,13.5626,Solid R,99.52%
13,Kansas,20.68,-20.68,-5.0,-0.6538811999999999,9.578421972,Solid R,98.9%
14,Maine,-4.05,4.05,-7.7,-5.9893375,-5.753142875,Likely D,8.91%
15,Maryland,-25.9,25.9,0.0,-4.575349,-14.969990809999999,Solid D,0.18%
16,Massachusetts,-32.64,32.64,0.0,-5.582372400000001,-18.832636956,Solid D,0.0%
17,Michigan,1.65,-1.65,-9.6,-9.5,-5.515499999999999,Likely D,11.0%
18,Minnesota,-1.93,1.93,-11.4,-5.0,-4.1110999999999995,Lean D,23.52%
19,Nebraska,24.84,-24.84,0.0,3.0057144,14.108742935999999,Solid R,99.67%
20,Nevada,2.55,-2.55,-4.1,1.6,2.6215,Tilt R,64.64%
21,New Hampshire,-0.34,0.34,7.1,21.0,14.761199999999999,Solid R,99.68%
22,New Mexico,-7.02,7.02,-14.4,-6.7,-7.706399999999999,Solid D,1.36%
23,New York,-19.96,19.96,0.0,-10.0,-15.921199999999999,Solid D,0.1%
24,Ohio,12.35,-12.35,3.7,3.3877405,8.539040945,Solid R,98.87%
25,Oklahoma,37.21,-37.21,12.1,12.2059971,26.391837998999996,Solid R,100.0%
26,Oregon,-10.55,10.55,-6.4,1.0,-3.9724999999999997,Lean D,25.1%
27,Pennsylvania,2.9,-2.9,0.0,-6.7,-2.8999999999999995,Lean D,33.3%
28,Rhode Island,-24.02,24.02,0.0,-4.2944582,-13.892576157999999,Solid D,0.44%
29,South Carolina,18.64,-18.64,8.1,7.001013400000001,14.032499245999999,Solid R,99.63%
30,South Dakota,32.24,-32.24,4.4,6.784832400000001,20.238334356000003,Solid R,100.0%
31,Tennessee,29.41,-29.41,21.1,16.5090891,25.784971479,Solid R,100.0%
32,Texas,11.98,-11.98,13.3,7.5,11.2986,Solid R,99.15%
33,Vermont,-27.55,27.55,41.2,44.0,18.183500000000002,Solid R,100.0%
34,Wisconsin,4.12,-4.12,-1.1,-2.2,0.7673999999999996,Tossup,50.07%
35,Wyoming,49.73,-49.73,39.6,30.7858853,45.371360857,Solid R,100.0%
